Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,CLBJ6-C-4,23-084
1,6,CLBJ6-C-5,23-084
1,7,CLBJ6-D-1,23-084
1,8,CLBJ6-C-1,23-084
1,9,CLBJ6-E-1,23-084
1,10,CLBJ6-C-2,23-084
1,11,CLBJ6-C-3,23-084
1,12,CLBJ6-D-2,23-084
1,13,EV,standard
1,14,CLBJ6-deep-1,23-084
1,15,CLBJ6-A-3,23-084
1,16,CLBJ6-A-2,23-084
1,17,CLBJ6-E-2,23-084
1,18,CLBJ6-E-4,23-084
1,19,CLBJ6-A-4,23-084
1,20,CLBJ6-D-5,23-084
1,21,CLBJ6-D-4,23-084
1,22,EV,standard
1,23,CLBJ6-B-4,23-084
1,24,CLBJ6-A-1,23-084
1,25,CLBJ6-010-1,23-084
1,26,CLBJ6-B-2,23-084
1,27,CLBJ6-010-2,23-084
1,28,CLBJ6-E-3,23-084
1,29,CLBJ6-B-1,23-084
1,30,CLBJ6-D-3,23-084
1,31,EV,standard
1,32,CLBJ6-2030-3,23-084
1,33,CLBJ6-A-5,23-084
1,34,CLBJ6-B-3,23-084
1,35,CLBJ6-3040-1,23-084
1,36,CLBJ6-deep-3,23-084
1,37,CLBJ6-3040-2,23-084
1,38,CLBJ6-deep-2,23-084
1,39,CLBJ6-1020-1,23-084
1,40,EV,standard
