Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,22-0684,22-309
1,6,22-0685,22-309
1,7,22-0679,22-309
1,8,22-0693,22-309
1,9,22-0678,22-309
1,10,22-0191,22-309
1,11,22-0691,22-309
1,12,22-0185,22-309
1,13,EV,standard
1,14,22-0201,22-309
1,15,22-0688,22-309
1,16,22-0184,22-309
1,17,22-0173,22-309
1,18,22-0187,22-309
1,19,22-0694,22-309
1,20,22-0692,22-309
1,21,22-0190,22-309
1,22,EV,standard
1,23,22-0200,22-309
1,24,22-0175,22-309
1,25,22-0180,22-309
1,26,22-0198,22-309
1,27,22-0681,22-309
1,28,22-0686,22-309
1,29,22-0683,22-309
1,30,22-0177,22-309
1,31,EV,standard
1,32,22-0179,22-309
1,33,22-0197,22-309
1,34,22-0178,22-309
1,35,22-0172,22-309
1,36,22-0690,22-309
1,37,22-0181,22-309
1,38,22-0202,22-309
1,39,22-0193,22-309
1,40,EV,standard
1,41,22-0186,22-309
1,42,22-0682,22-309
1,43,22-0174,22-309
1,44,22-0195,22-309
1,45,22-0188,22-309
1,46,22-0695,22-309
1,47,22-0192,22-309
1,48,22-0689,22-309
1,49,EV,standard
1,50,22-0199,22-309
1,51,22-0189,22-309
1,52,22-0203,22-309
1,53,22-0680,22-309
1,54,22-0196,22-309
1,55,22-0194,22-309
1,56,SCBI4-B-3,22-283
1,57,SCBI4-B-2,22-283
1,58,EV,standard
1,59,SLCP-22-020,Precipitation
1,60,EV,standard
