Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,WREF2-010-1,22-034
1,6,WREF2-2030-1,22-034
1,7,WREF2-3040-1,22-034
1,8,WREF2-deep-1,22-034
1,9,WREF2-3040-2,22-034
1,10,WREF2-010-2,22-034
1,11,WREF2-3040-3,22-034
1,12,WREF2-1020-2,22-034
1,13,EV,standard
1,14,WREF2-2030-3,22-034
1,15,WREF2-010-3,22-034
1,16,WREF2-D-5,22-034
1,17,WREF2-1020-1,22-034
1,18,WREF2-deep-3,22-034
1,19,WREF2-2030-2,22-034
1,20,WREF2-A-2,22-034
1,21,WREF2-E-1,22-034
1,22,EV,standard
1,23,WREF2-1020-3,22-034
1,24,WREF2-E-5,22-034
1,25,WREF2-E-3,22-034
1,26,WREF2-deep-2,22-034
1,27,WREF2-C-2,22-034
1,28,WREF2-D-4,22-034
1,29,WREF2-A-3,22-034
1,30,WREF2-B-2,22-034
1,31,EV,standard
1,32,WREF2-D-2,22-034
1,33,WREF2-C-3,22-034
1,34,WREF2-A-5,22-034
1,35,WREF2-C-4,22-034
1,36,WREF2-B-4,22-034
1,37,WREF2-D-3,22-034
1,38,WREF2-B-3,22-034
1,39,WREF2-E-2,22-034
1,40,EV,standard
1,41,WREF2-C-5,22-034
1,42,WREF2-D-1,22-034
1,43,WREF2-A-1,22-034
1,44,WREF2-A-4,22-034
1,45,WREF2-E-4,22-034
1,46,WREF2-B-1,22-034
1,47,WREF2-C-1,22-034
1,48,WREF2-B-5,22-034
1,49,EV,standard
1,50,193,22-216
1,51,194,22-216
1,52,195,22-216
1,53,196,22-216
1,54,197,22-216
1,55,198,22-216
1,56,199,22-216
1,57,200,22-216
1,58,EV,standard
1,59,201,22-216
1,60,202,22-216
1,61,203,22-216
1,62,204,22-216
1,63,205,22-216
1,64,206,22-216
1,65,207,22-216
1,66,208,22-216
1,67,EV,standard
