Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,A00000253295,22-277
1,6,A00000253321,22-277
1,7,A00000253475,22-277
1,8,A00000253452,22-277
1,9,A00000253490,22-277
1,10,A00000253294,22-277
1,11,A00000253320,22-277
1,12,A00000253491,22-277
1,13,EV,standard
1,14,A00000253702,22-277
1,15,A00000253279,22-277
1,16,A00000253484,22-277
1,17,A00000253474,22-277
1,18,A00000253489,22-277
1,19,A00000253488,22-277
1,20,A00000253277,22-277
1,21,A00000253296,22-277
1,22,EV,standard
1,23,A00000253432,22-277
1,24,A00000253494,22-277
1,25,A00000253235,22-277
1,26,A00000253401,22-277
1,27,A00000253267,22-277
1,28,A00000253268,22-277
1,29,A00000253402,22-277
1,30,A00000253403,22-277
1,31,EV,standard
1,32,A00000251456,22-277
1,33,A00000253220,22-277
1,34,A00000253299,22-277
1,35,A00000253412,22-277
1,36,A00000253607,22-277
1,37,A00000253245,22-277
1,38,A00000253229,22-277
1,39,A00000253230,22-277
1,40,EV,standard
1,41,A00000253139,22-277
1,42,A00000253385,22-277
1,43,A00000253383,22-277
1,44,A00000253215,22-277
1,45,A00000253265,22-277
1,46,A00000253417,22-277
1,47,A00000253481,22-277
1,48,A00000253626,22-277
1,49,EV,standard
1,50,A00000253206,22-277
1,51,A00000253610,22-277
1,52,A00000253655,22-277
1,53,A00000253652,22-277
1,54,A00000253647,22-277
1,55,SJER4-010-3,22-262
1,56,EV,standard
