Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,Spring-6 4/6/21,21-207
1,6,Spring-5 4/6/21,21-207
1,7,Spring-6 3/8/21,21-207
1,8,Jordan river 3/8/21,21-207
1,9,Spring-1 3/8/21,21-207
1,10,Spring-1 4/6/21,21-207
1,11,Jordon river 4/6/21,21-207
1,12,Spring-5 3/8/21,21-207
1,13,EV,standard
1,14,Canal 5/7/21,21-207
1,15,Spring-1 6/10/21,21-207
1,16,Spring-1 5/7/21,21-207
1,17,Canal 6/10/21,21-207
1,18,Spring-5 6/10/21,21-207
1,19,Spring-6 6/10/21,21-207
1,20,Spring-6 5/7/21,21-207
1,21,Spring-5 5/7/21,21-207
1,22,EV,standard
1,23,SCBI2-010-2,20-233
1,24,SCBI2-2030-1,20-233
1,25,SCBI2-1020-3,20-233
1,26,SCBI2-C-3,20-233
1,27,SCBI2-deep-3,20-233
1,28,SCBI2-C-5,20-233
1,29,SCBI2-1020-2,20-233
1,30,SCBI2-A-5,20-233
1,31,EV,standard
1,32,SCBI2-D-1,20-233
1,33,SCBI2-1020-1,20-233
1,34,SCBI2-D10-3,20-233
1,35,SCBI2-3040-2,20-233
1,36,SCBI2-B-4,20-233
1,37,SCBI2-B-1,20-233
1,38,SCBI2-B-5,20-233
1,39,SCBI2-2030-2,20-233
1,40,EV,standard
1,41,SCBI2-C-4,20-233
1,42,SCBI2-deep-2,20-233
1,43,SCBI2-D-4,20-233
1,44,SCBI2-3040-3,20-233
1,45,SCBI2-3040-1,20-233
1,46,SCBI2-D-2,20-233
1,47,SCBI2-A-2,20-233
1,48,SCBI2-B-3,20-233
1,49,EV,standard
1,50,SCBI2-D-5,20-233
1,51,SCBI2-C-1,20-233
1,52,SCBI2-C-2,20-233
1,53,SCBI2-B-2,20-233
1,54,SCBI2-A-4,20-233
1,55,SCBI2-A-3,20-233
1,56,SCBI2-A-1,20-233
1,57,SCBI2-D-3,20-233
1,58,EV,standard
1,59,SCBI2-deep-1,20-233
1,60,SCBI2-010-1,20-233
1,61,SCBI2-2030-3,20-233
1,62,EV,standard
