Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,A00000322632,23-097
1,6,A00000322644,23-097
1,7,A00000322660,23-097
1,8,A00000322734,23-097
1,9,A00000322666,23-097
1,10,A00000322667,23-097
1,11,A00000322665,23-097
1,12,A00000322668,23-097
1,13,EV,standard
1,14,A00000322423,23-097
1,15,A00000322427,23-097
1,16,A00000170752,23-097
1,17,A00000170760,23-097
1,18,A00000322421,23-097
1,19,A00000170829,23-097
1,20,A00000170754,23-097
1,21,A00000170758,23-097
1,22,EV,standard
1,23,A00000322425,23-097
1,24,A00000170750,23-097
1,25,A00000170756,23-097
1,26,A00000322705,23-097
1,27,A00000322627,23-097
1,28,A00000322639,23-097
1,29,A00000322654,23-097
1,30,A00000322729,23-097
1,31,EV,standard
1,32,A00000322757,23-097
1,33,A00000322747,23-097
1,34,A00000322748,23-097
1,35,A00000322749,23-097
1,36,A00000322746,23-097
1,37,A00000322687,23-097
1,38,A00000322622,23-097
1,39,WOOD4-D-5,23-074
1,40,EV,standard
