Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,YELL4-E-2,23-062
1,6,YELL4-E-5,23-062
1,7,YELL4-E-3,23-062
1,8,YELL4-D-3,23-062
1,9,YELL4-D-4,23-062
1,10,YELL4-D-1,23-062
1,11,YELL4-D-2,23-062
1,12,YELL4-D-5,23-062
1,13,EV,standard
1,14,YELL4-1020-3,23-062
1,15,YELL4-E-1,23-062
1,16,YELL4-E-4,23-062
1,17,YELL4-010-3,23-062
1,18,YELL4-2030-3,23-062
1,19,YELL4-C-2,23-062
1,20,YELL4-C-4,23-062
1,21,YELL4-C-1,23-062
1,22,EV,standard
1,23,YELL4-010-1,23-062
1,24,YELL4-C-5,23-062
1,25,YELL4-A-1,23-062
1,26,YELL4-A-5,23-062
1,27,YELL4-B-2,23-062
1,28,YELL4-C-3,23-062
1,29,YELL4-B-3,23-062
1,30,YELL4-A-3,23-062
1,31,EV,standard
1,32,YELL4-A-2,23-062
1,33,YELL4-A-4,23-062
1,34,YELL4-B-5,23-062
1,35,YELL4-B-1,23-062
1,36,YELL4-B-4,23-062
1,37,YELL4-010-2,23-062
1,38,YELL4-1020-1,23-062
1,39,EV,standard
