Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,OSBS2-D-2,22-032
1,6,OSBS2-C-3,22-032
1,7,OSBS2-A-4,22-032
1,8,OSBS2-A-2,22-032
1,9,OSBS2-A-1,22-032
1,10,OSBS2-D-3,22-032
1,11,OSBS2-E-1,22-032
1,12,OSBS2-C-1,22-032
1,13,EV,standard
1,14,OSBS2-C-2,22-032
1,15,OSBS2-C-4,22-032
1,16,OSBS2-C-5,22-032
1,17,OSBS2-B-1,22-032
1,18,OSBS2-B-2,22-032
1,19,OSBS2-B-3,22-032
1,20,OSBS2-B-4,22-032
1,21,OSBS2-B-5,22-032
1,22,EV,standard
1,23,OSBS2-A-3,22-032
1,24,OSBS2-A-5,22-032
1,25,OSBS2-E-2,22-032
1,26,OSBS2-E-3,22-032
1,27,OSBS2-E-4,22-032
1,28,OSBS2-E-5,22-032
1,29,OSBS2-010-1,22-032
1,30,OSBS2-010-2,22-032
1,31,EV,standard
1,32,OSBS2-D-1,22-032
1,33,OSBS2-D-4,22-032
1,34,OSBS2-D-5,22-032
1,35,OSBS2-2030-1,22-032
1,36,OSBS2-2030-2,22-032
1,37,OSBS2-1020-1,22-032
1,38,OSBS2-1020-2,22-032
1,39,OSBS2-deep-1,22-032
1,40,EV,standard
1,41,OSBS2-deep-2,22-032
1,42,OSBS2-3040-1,22-032
1,43,OSBS2-3040-2,22-032
1,44,EV,standard
