Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,UNDE5-2030-1,23-063
1,6,UNDE5-1020-1,23-063
1,7,UNDE5-3040-1,23-063
1,8,UNDE5-deep-1,23-063
1,9,UNDE5-2030-2,23-063
1,10,UNDE5-1020-2,23-063
1,11,UNDE5-3040-3,23-063
1,12,UNDE5-2030-3,23-063
1,13,EV,standard
1,14,UNDE5-1020-3,23-063
1,15,UNDE5-010-2,23-063
1,16,UNDE5-010-1,23-063
1,17,UNDE5-010-3,23-063
1,18,UNDE5-3040-2,23-063
1,19,UNDE5-B-4,23-063
1,20,UNDE5-B-5,23-063
1,21,UNDE5-B-3,23-063
1,22,EV,standard
1,23,UNDE5-D-1,23-063
1,24,UNDE5-A-2,23-063
1,25,UNDE5-D-3,23-063
1,26,UNDE5-A-4,23-063
1,27,UNDE5-E-2,23-063
1,28,UNDE5-C-4,23-063
1,29,UNDE5-C-1,23-063
1,30,UNDE5-C-2,23-063
1,31,EV,standard
1,32,UNDE5-C-5,23-063
1,33,UNDE5-B-1,23-063
1,34,UNDE5-A-3,23-063
1,35,UNDE5-A-5,23-063
1,36,UNDE5-D-4,23-063
1,37,UNDE5-E-5,23-063
1,38,UNDE5-A-1,23-063
1,39,UNDE5-D-2,23-063
1,40,EV,standard
1,41,UNDE5-E-4,23-063
1,42,UNDE5-D-5,23-063
1,43,UNDE5-C-3,23-063
1,44,UNDE5-E-3,23-063
1,45,UNDE5-E-1,23-063
1,46,UNDE5-B-2,23-063
1,47,EV,standard
