Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,HARV6-2030-2,23-028
1,6,HARV6-2030-3,23-028
1,7,HARV6-deep-3,23-028
1,8,HARV6-C-5,23-028
1,9,HARV6-010-3,23-028
1,10,HARV6-1020-2,23-028
1,11,HARV6-deep-1,23-028
1,12,HARV6-1020-1,23-028
1,13,EV,standard
1,14,HARV6-010-1,23-028
1,15,HARV6-010-2,23-028
1,16,HARV6-3040-2,23-028
1,17,HARV6-1020-3,23-028
1,18,HARV6-E-5,23-028
1,19,HARV6-2030-1,23-028
1,20,HARV6-C-1,23-028
1,21,HARV6-E-2,23-028
1,22,EV,standard
1,23,HARV6-A-5,23-028
1,24,HARV6-A-2,23-028
1,25,HARV6-A-1,23-028
1,26,HARV6-E-3,23-028
1,27,HARV6-D-4,23-028
1,28,HARV6-D-5,23-028
1,29,HARV6-A-4,23-028
1,30,HARV6-B-4,23-028
1,31,EV,standard
1,32,HARV6-A-3,23-028
1,33,HARV6-B-3,23-028
1,34,HARV6-E-4,23-028
1,35,HARV6-B-5,23-028
1,36,HARV6-D-2,23-028
1,37,HARV6-C-3,23-028
1,38,HARV6-D-3,23-028
1,39,HARV6-B-2,23-028
1,40,EV,standard
1,41,HARV6-3040-1,23-028
1,42,HARV6-C-4,23-028
1,43,HARV6-E-1,23-028
1,44,HARV6-D-1,23-028
1,45,HARV6-B-1,23-028
1,46,HARV6-C-2,23-028
1,47,HARV6-3040-3,23-028
1,48,HARV6-deep-1,23-028
1,49,EV,standard
