Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,EBC 37,22-231
1,6,EBC 35,22-231
1,7,OSBS3-D-2,22-041
1,8,OSBS3-C-2,22-041
1,9,OSBS3-A-5,22-041
1,10,OSBS3-A-2,22-041
1,11,OSBS3-E-1,22-041
1,12,OSBS3-D-3,22-041
1,13,EV,standard
1,14,OSBS3-A-1,22-041
1,15,OSBS3-E-3,22-041
1,16,OSBS3-C-5,22-041
1,17,OSBS3-B-5,22-041
1,18,OSBS3-C-3,22-041
1,19,OSBS3-A-4,22-041
1,20,OSBS3-C-4,22-041
1,21,OSBS3-D-5,22-041
1,22,EV,standard
1,23,OSBS3-E-2,22-041
1,24,OSBS3-A-3,22-041
1,25,OSBS3-B-2,22-041
1,26,OSBS3-B-3,22-041
1,27,OSBS3-D-1,22-041
1,28,OSBS3-E-5,22-041
1,29,OSBS3-B-1,22-041
1,30,OSBS3-E-4,22-041
1,31,EV,standard
1,32,OSBS3-B-4,22-041
1,33,OSBS3-1020-3,22-041
1,34,OSBS3-C-1,22-041
1,35,OSBS3-010-3,22-041
1,36,OSBS3-2030-3,22-041
1,37,OSBS3-2030-1,22-041
1,38,OSBS3-D-4,22-041
1,39,OSBS3-1020-2,22-041
1,40,EV,standard
1,41,OSBS3-010-1,22-041
1,42,OSBS3-3040-3,22-041
1,43,OSBS3-1020-1,22-041
1,44,OSBS3-2030-2,22-041
1,45,OSBS3-3040-1,22-041
1,46,OSBS3-010-2,22-041
1,47,OSBS3-3040-2,22-041
1,48,OSBS3-deep-1,22-041
1,49,EV,standard
1,50,OSBS3-deep-2,22-041
1,51,OSBS3-deep-3,22-041
1,52,EV,standard
