Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,A00000170048,22-324
1,6,A00000170028,22-324
1,7,A00000322547,22-324
1,8,A00000170066,22-324
1,9,A00000322562,22-324
1,10,A00000322556,22-324
1,11,A00000170051,22-324
1,12,A00000170050,22-324
1,13,EV,standard
1,14,A00000170052,22-324
1,15,A00000170049,22-324
1,16,A00000169482,22-324
1,17,A00000322389,22-324
1,18,A00000322395,22-324
1,19,A00000169481,22-324
1,20,A00000169493,22-324
1,21,A00000169500,22-324
1,22,EV,standard
1,23,A00000322391,22-324
1,24,A00000169479,22-324
1,25,A00000169495,22-324
1,26,A00000169497,22-324
1,27,A00000322393,22-324
1,28,A00000293668,22-324
1,29,A00000293749,22-324
1,30,A00000293531,22-324
1,31,EV,standard
1,32,A00000293496,22-324
1,33,A00000293821,22-324
1,34,A00000293482,22-324
1,35,A00000293485,22-324
1,36,A00000293493,22-324
1,37,A00000293488,22-324
1,38,A00000293525,22-324
1,39,A00000293772,22-324
1,40,EV,standard
1,41,A00000293471,22-324
1,42,A00000293727,22-324
1,43,A00000293779,22-324
1,44,A00000293781,22-324
1,45,A00000293771,22-324
1,46,A00000293747,22-324
1,47,A00000293741,22-324
1,48,SLCP-22-023,Precipitation
1,49,EV,standard
