Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,HARV2-E-1,21-069
1,6,HARV2-010-2,21-069
1,7,HARV2-B-1,21-069
1,8,HARV2-2030-2,21-069
1,9,HARV2-010-3,21-069
1,10,HARV2-1020-2,21-069
1,11,HARV2-A-5,21-069
1,12,HARV2-D-1,21-069
1,13,EV,standard
1,14,HARV2-E-5,21-069
1,15,HARV2-E-3,21-069
1,16,HARV2-2030-1,21-069
1,17,HARV2-deep-2,21-069
1,18,HARV2-C-3,21-069
1,19,HARV2-3040-3,21-069
1,20,HARV2-3040-1,21-069
1,21,HARV2-E-2,21-069
1,22,EV,standard
1,23,HARV2-B-5,21-069
1,24,HARV2-B-3,21-069
1,25,HARV2-010-1,21-069
1,26,HARV2-A-3,21-069
1,27,HARV2-D-2,21-069
1,28,HARV2-C-2,21-069
1,29,HARV2-A-1,21-069
1,30,HARV2-D-4,21-069
1,31,EV,standard
1,32,HARV2-A-2,21-069
1,33,HARV2-A-4,21-069
1,34,HARV2-deep-3,21-069
1,35,HARV2-D-3,21-069
1,36,HARV2-E-4,21-069
1,37,HARV2-1020-3,21-069
1,38,HARV2-B-4,21-069
1,39,HARV2-3040-2,21-069
1,40,EV,standard
1,41,HARV2-D-5,21-069
1,42,HARV2-C-4,21-069
1,43,HARV2-C-5,21-069
1,44,HARV2-B-2,21-069
1,45,HARV2-C-1,21-069
1,46,HARV2-020-1,21-069
1,47,SLCP-22-010,Precipitation
1,48,EV,standard
