Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,CPER7-D-1,23-046
1,6,CPER7-1020-1,23-046
1,7,CPER7-010-3,23-046
1,8,CPER7-C-1,23-046
1,9,CPER7-C-2,23-046
1,10,CPER7-D-3,23-046
1,11,CPER7-D-2,23-046
1,12,CPER7-D-5,23-046
1,13,EV,standard
1,14,CPER7-3040-1,23-046
1,15,CPER7-2030-1,23-046
1,16,CPER7-1020-2,23-046
1,17,CPER7-010-2,23-046
1,18,CPER7-2030-2,23-046
1,19,CPER7-1020-3,23-046
1,20,CPER7-010-1,23-046
1,21,CPER7-D-4,23-046
1,22,EV,standard
1,23,CPER7-2030-3,23-046
1,24,CPER7-3040-3,23-046
1,25,CPER7-3040-2,23-046
1,26,CPER7-C-5,23-046
1,27,CPER7-C-3,23-046
1,28,CPER7-deep-1,23-046
1,29,CPER7-deep-2,23-046
1,30,CPER7-deep-3,23-046
1,31,EV,standard
1,32,CPER7-C-4,23-046
1,33,EV,standard
