Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,A00000195900,22-245
1,6,A00000195853,22-245
1,7,A00000195600,22-245
1,8,A00000195608,22-245
1,9,A00000195783,22-245
1,10,A00000195899,22-245
1,11,A00000196379,22-245
1,12,A00000195459,22-245
1,13,EV,standard
1,14,A00000195884,22-245
1,15,A00000195866,22-245
1,16,A00000195850,22-245
1,17,A00000195836,22-245
1,18,A00000194866,22-245
1,19,A00000194883,22-245
1,20,A00000194857,22-245
1,21,A00000194855,22-245
1,22,EV,standard
1,23,A00000194867,22-245
1,24,A00000196463,22-245
1,25,A00000194885,22-245
1,26,A00000196461,22-245
1,27,A00000320061,22-245
1,28,A00000320079,22-245
1,29,A00000320088,22-245
1,30,A00000320123,22-245
1,31,EV,standard
1,32,A00000347319,22-245
1,33,A00000320113,22-245
1,34,A00000320119,22-245
1,35,A00000320114,22-245
1,36,A00000320120,22-245
1,37,A00000320050,22-245
1,38,A00000320064,22-245
1,39,A00000320071,22-245
1,40,EV,standard
1,41,A00000320106,22-245
1,42,A00000320107,22-245
1,43,A00000320108,22-245
1,44,A00000347310,22-245
1,45,A00000347323,22-245
1,46,A00000347301,22-245
1,47,A00000347307,22-245
1,48,A00000347306,22-245
1,49,EV,standard
1,50,A00000347300,22-245
1,51,A00000319827,22-245
1,52,A00000319824,22-245
1,53,A00000347227,22-245
1,54,A00000347481,22-245
1,55,A00000347479,22-245
1,56,A00000319825,22-245
1,57,A00000319822,22-245
1,58,EV,standard
1,59,A00000347483,22-245
1,60,TALL4-C-4,22-233
1,61,EBC 02,22-231
1,62,EBC 05,22-231
1,63,EBC 01,22-231
1,64,EBC 04,22-231
1,65,EV,standard
