Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,MC0108,23-067
1,6,WEIR0108,23-067
1,7,BF01-0108,23-067
1,8,BF02-0108,23-067
1,9,S3-0108,23-067
1,10,S4-0108,23-067
1,11,BF03-0108,23-067
1,12,BF04-0108,23-067
1,13,EV,standard
1,14,S05-0109,23-067
1,15,SPR1-0109,23-067
1,16,TP12-0109,23-067
1,17,TP15-0109,23-067
1,18,LAK1-0109,23-067
1,19,A00000288882,23-058
1,20,A00000288877,23-058
1,21,A00000288883,23-058
1,22,EV,standard
1,23,A00000288863,23-058
1,24,A00000281266,23-058
1,25,A00000288870,23-058
1,26,A00000288881,23-058
1,27,A00000176122,23-058
1,28,A00000176029,23-058
1,29,A00000176060,23-058
1,30,A00000176091,23-058
1,31,EV,standard
1,32,A00000176121,23-058
1,33,A00000074687,23-058
1,34,A00000170462,23-058
1,35,A00000322683,23-058
1,36,A00000322619,23-058
1,37,A00000322676,23-058
1,38,A00000322695,23-058
1,39,A00000322399,23-058
1,40,EV,standard
1,41,A00000322405,23-058
1,42,A00000322411,23-058
1,43,A00000322415,23-058
1,44,A00000322397,23-058
1,45,A00000322403,23-058
1,46,A00000322409,23-058
1,47,A00000322417,23-058
1,48,A00000322401,23-058
1,49,EV,standard
1,50,A00000322407,23-058
1,51,A00000322413,23-058
1,52,A00000322419,23-058
1,53,TALL1-D-2,23-029
1,54,TALL1-B-1,23-029
1,55,TALL1-A-1,23-029
1,56,TALL1-C-1,23-029
1,57,EV,standard
