Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,HARV1-D-3,20-203
1,6,HARV1-E-5,20-203
1,7,HARV1-A-5,20-203
1,8,HARV1-B-3,20-203
1,9,HARV1-deep-1,20-203
1,10,HARV1-010-3,20-203
1,11,HARV1-2030-2,20-203
1,12,HARV1-2030-3,20-203
1,13,EV,standard
1,14,HARV1-3040-1,20-203
1,15,HARV1-D-1,20-203
1,16,HARV1-010-1,20-203
1,17,HARV1-3040-2,20-203
1,18,HARV1-A-2,20-203
1,19,HARV1-E-2,20-203
1,20,HARV1-E-4,20-203
1,21,HARV1-B-2,20-203
1,22,EV,standard
1,23,HARV1-B-5,20-203
1,24,HARV1-C-2,20-203
1,25,HARV1-D-2,20-203
1,26,HARV1-1020-2,20-203
1,27,HARV1-E-3,20-203
1,28,HARV1-1020-1,20-203
1,29,HARV1-B-4,20-203
1,30,HARV1-1020-3,20-203
1,31,EV,standard
1,32,HARV1-E-1,20-203
1,33,HARV1-A-4,20-203
1,34,HARV1-A-3,20-203
1,35,HARV1-A-1,20-203
1,36,HARV1-deep-3,20-203
1,37,HARV1-deep-2,20-203
1,38,HARV1-2030-1,20-203
1,39,HARV1-3040-3,20-203
1,40,EV,standard
1,41,HARV1-C-5,20-203
1,42,HARV1-D-5,20-203
1,43,HARV1-C-1,20-203
1,44,HARV1-D-4,20-203
1,45,HARV1-010-2,20-203
1,46,HARV1-C-3,20-203
1,47,HARV1-C-4,20-203
1,48,HARV1-B-1,20-203
1,49,EV,standard
