Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,UNDE1-2030-2,20-196
1,6,UNDE1-deep-1,20-196
1,7,UNDE1-010-1,20-196
1,8,UNDE1-010-3,20-196
1,9,UNDE1-1020-1,20-196
1,10,UNDE1-1020-2,20-196
1,11,SCBI-2030-1,20-196
1,12,SCBI1-010-3,20-196
1,13,EV,standard
1,14,SCBI1-010-1,20-196
1,15,UNDE1-010-2,20-196
1,16,SCBI1-A-5,20-196
1,17,SCBI1-C-1,20-196
1,18,SCBI1-A-3,20-196
1,19,SCBI1-A-2,20-196
1,20,SCBI1-D-2,20-196
1,21,SCBI1-A-1,20-196
1,22,EV,standard
1,23,SCBI1-D-3,20-196
1,24,SCBI1-B-2,20-196
1,25,SCBI1-C-5,20-196
1,26,SCBI-3040-3,20-196
1,27,SCBI1-1020-1,20-196
1,28,SCBI1-deep-1,20-196
1,29,SCBI1-2030-2,20-196
1,30,SCBI1-B-5,20-196
1,31,EV,standard
1,32,SCBI1-C-4,20-196
1,33,SCBI1-010-2,20-196
1,34,UNDE1-3040-1,20-196
1,35,SCBI1-deep-3,20-196
1,36,SCBI1-3040-2,20-196
1,37,CPER1-deep-1,20-196
1,38,SCBI1-3040-1,20-196
1,39,SCBI1-1020-3,20-196
1,40,EV,standard
