Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,HARV5-A-2,22-234
1,6,HARV5-A-3,22-234
1,7,HARV5-2030-1,22-234
1,8,HARV5-deep-1,22-234
1,9,HARV5-D-5,22-234
1,10,HARV5-D-4,22-234
1,11,HARV5-D-1,22-234
1,12,HARV5-E-5,22-234
1,13,EV,standard
1,14,HARV5-3040-3,22-234
1,15,HARV5-1020-1,22-234
1,16,HARV5-E-2,22-234
1,17,HARV5-1020-2,22-234
1,18,HARV5-010-3,22-234
1,19,HARV5-2030-3,22-234
1,20,HARV5-010-2,22-234
1,21,HARV5-1020-3,22-234
1,22,EV,standard
1,23,HARV5-deep-2,22-234
1,24,HARV5-B-3,22-234
1,25,HARV5-C-2,22-234
1,26,HARV5-A-5,22-234
1,27,HARV5-3040-1,22-234
1,28,HARV5-C-5,22-234
1,29,HARV5-B-1,22-234
1,30,HARV5-010-1,22-234
1,31,EV,standard
1,32,HARV5-E-1,22-234
1,33,HARV5-3040-2,22-234
1,34,HARV5-A-4,22-234
1,35,HARV5-C-3,22-234
1,36,HARV5-E-4,22-234
1,37,HARV5-A-1,22-234
1,38,HARV5-D-2,22-234
1,39,HARV5-B-5,22-234
1,40,EV,standard
1,41,HARV5-C-1,22-234
1,42,HARV5-B-4,22-234
1,43,HARV5-B-2,22-234
1,44,HARV5-C-4,22-234
1,45,HARV5-E-3,22-234
1,46,HARV5-D-3,22-234
1,47,HARV5-2030-2,22-234
1,48,33,22-215
1,49,EV,standard
1,50,12,22-215
1,51,9,22-215
1,52,1,22-215
1,53,EV,standard
