Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,A00000292675,22-211
1,6,A00000292091,22-211
1,7,A00000292688,22-211
1,8,A00000292716,22-211
1,9,A00000291925,22-211
1,10,A00000291926,22-211
1,11,A00000292678,22-211
1,12,A00000292697,22-211
1,13,EV,standard
1,14,A00000292733,22-211
1,15,A00000292718,22-211
1,16,A00000292670,22-211
1,17,A00000292081,22-211
1,18,A00000292813,22-211
1,19,A00000292977,22-211
1,20,A00000168544,22-211
1,21,A00000168834,22-211
1,22,EV,standard
1,23,A00000169214,22-211
1,24,A00000169418,22-211
1,25,A00000169432,22-211
1,26,A00000168509,22-211
1,27,A00000168513,22-211
1,28,A00000168526,22-211
1,29,A00000168535,22-211
1,30,A00000168491,22-211
1,31,EV,standard
1,32,A00000168503,22-211
1,33,A00000168518,22-211
1,34,A00000168546,22-211
1,35,A00000168836,22-211
1,36,A00000169414,22-211
1,37,A00000169430,22-211
1,38,A00000168542,22-211
1,39,A00000168830,22-211
1,40,EV,standard
1,41,A00000168832,22-211
1,42,A00000169416,22-211
1,43,A00000169420,22-211
1,44,A00000169434,22-211
1,45,OSBS3-deep-2,22-041
1,46,OSBS3-deep-3,22-041
1,47,EV,standard
