Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,TALL6-2030-1,23-081
1,6,TALL6-3040-1,23-081
1,7,TALL6-010-3,23-081
1,8,TALL6-1020-1,23-081
1,9,TALL6-1020-2,23-081
1,10,TALL6-2030-3,23-081
1,11,TALL6-3040-3,23-081
1,12,TALL6-2030-2,23-081
1,13,EV,standard
1,14,TALL6-deep-3,23-081
1,15,TALL6-1020-3,23-081
1,16,TALL6-C-2,23-081
1,17,TALL6-D-4,23-081
1,18,TALL6-D-2,23-081
1,19,TALL6-B-1,23-081
1,20,TALL6-B-3,23-081
1,21,TALL6-B-5,23-081
1,22,EV,standard
1,23,TALL6-C-5,23-081
1,24,TALL6-C-4,23-081
1,25,TALL6-B-2,23-081
1,26,TALL6-D-5,23-081
1,27,TALL6-C-1,23-081
1,28,TALL6-D-3,23-081
1,29,TALL6-C-3,23-081
1,30,TALL6-B-4,23-081
1,31,EV,standard
1,32,TALL6-A-1,23-081
1,33,TALL6-010-1,23-081
1,34,TALL6-A-3,23-081
1,35,TALL6-A-2,23-081
1,36,TALL6-D-1,23-081
1,37,TALL6-A-5,23-081
1,38,TALL6-A-4,23-081
1,39,TALL6-010-1,23-081
1,40,EV,standard
