Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,CLS114,21-088
1,6,CP3A14,21-088
1,7,WL2B14,21-088
1,8,LP1A14,21-088
1,9,NNBS14,21-088
1,10,RPS214,21-088
1,11,ERBS14,21-088
1,12,CKSP14,21-088
1,13,EV,standard
1,14,WL4A14,21-088
1,15,WL1A14,21-088
1,16,RPRW14,21-088
1,17,NBKS14,21-088
1,18,LRPS14,21-088
1,19,GCP108,21-088
1,20,KGSP14,21-088
1,21,KP1A14,21-088
1,22,EV,standard
1,23,WLS514,21-088
1,24,WP3B14,21-088
1,25,CLS314,21-088
1,26,SBKS14,21-088
1,27,STSP14,21-088
1,28,RPS314,21-088
1,29,WL3A14,21-088
1,30,WLSE14,21-088
1,31,EV,standard
1,32,GCP108,21-088
1,33,WLS614,21-088
1,34,RPSP14,21-088
1,35,WL2A14,21-088
1,36,CP1A14,21-088
1,37,KP1C14,21-088
1,38,LRPX14,21-088
1,39,WP1B14,21-088
1,40,EV,standard
1,41,WL4B14,21-088
1,42,BVNS14,21-088
1,43,DP1A10,21-088
1,44,DP1B10,21-088
1,45,DCSC10,21-088
1,46,WL BC120 210318,21-088
1,47,ST BC114 210317,21-088
1,48,WL BC115 210318,21-088
1,49,EV,standard
1,50,SP BC119 210318,21-088
1,51,WL BC116 210318,21-088
1,52,WL BC117 210318,21-088
1,53,SCBI1-D-1,20-196
1,54,SCBI1-1020-2,20-196
1,55,NIWO1-deep-3,20-196
1,56,EV,standard
