Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,SCBI6-B-4,22-303
1,6,SCBI6-B-2,22-303
1,7,SCBI6-2030-3,22-303
1,8,SCBI6-1020-1,22-303
1,9,SCBI6-2030-2,22-303
1,10,SCBI6-010-2,22-303
1,11,SCBI6-D-4,22-303
1,12,SCBI6-A-5,22-303
1,13,EV,standard
1,14,SCBI6-B-3,22-303
1,15,SCBI6-1020-2,22-303
1,16,SCBI6-3040-1,22-303
1,17,SCBI6-010-3,22-303
1,18,SCBI6-3040-3,22-303
1,19,SCBI6-3040-2,22-303
1,20,SCBI6-2030-1,22-303
1,21,SCBI6-1020-3,22-303
1,22,EV,standard
1,23,SCBI6-C-4,22-303
1,24,SCBI6-C-2,22-303
1,25,SCBI6-C-1,22-303
1,26,SCBI6-C-3,22-303
1,27,SCBI6-B-5,22-303
1,28,SCBI6-C-5,22-303
1,29,SCBI6-A-3,22-303
1,30,SCBI6-D-1,22-303
1,31,EV,standard
1,32,SCBI6-D-2,22-303
1,33,SCBI6-A-1,22-303
1,34,SCBI6-010-1,22-303
1,35,SCBI6-deep-3,22-303
1,36,SCBI6-deep-1,22-303
1,37,SCBI6-D-3,22-303
1,38,SCBI6-A-4,22-303
1,39,SCBI6-B-1,22-303
1,40,EV,standard
1,41,SCBI6-D-5,22-303
1,42,SCBI6-A-2,22-303
1,43,140,22-325
1,44,59,22-325
1,45,EV,standard
