Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,TALL5-3040-3,23-011
1,6,TALL5-010-2,23-011
1,7,TALL5-2030-2,23-011
1,8,TALL5-2030-3,23-011
1,9,TALL5-3040-1,23-011
1,10,TALL5-1020-1,23-011
1,11,TALL5-2030-1,23-011
1,12,TALL5-1020-2,23-011
1,13,EV,standard
1,14,TALL5-3040-2,23-011
1,15,TALL5-deep-3,23-011
1,16,TALL5-B-4,23-011
1,17,TALL5-B-5,23-011
1,18,TALL5-C-2,23-011
1,19,TALL5-B-3,23-011
1,20,TALL5-A-3,23-011
1,21,TALL5-B-1,23-011
1,22,EV,standard
1,23,TALL5-A-4,23-011
1,24,TALL5-A-1,23-011
1,25,TALL5-010-1,23-011
1,26,TALL5-C-4,23-011
1,27,TALL5-C-3,23-011
1,28,TALL5-A-5,23-011
1,29,TALL5-A-2,23-011
1,30,TALL5-D-1,23-011
1,31,EV,standard
1,32,TALL5-C-5,23-011
1,33,TALL5-D-4,23-011
1,34,TALL5-D-2,23-011
1,35,TALL5-1020-3,23-011
1,36,TALL5-010-3,23-011
1,37,TALL5-D-5,23-011
1,38,TALL5-B-2,23-011
1,39,TALL5-C-1,23-011
1,40,EV,standard
1,41,TALL5-D-3,23-011
1,42,EV,standard
