Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,WSU-7,23-152
1,6,WSU- Knotts Diary 2,23-152
1,7,Moscow 10,23-152
1,8,WSU- 6,23-152
1,9,WSU- Spillman Farm,23-152
1,10,Pullman-7,23-152
1,11,WSU 4,23-152
1,12,Pullman 8,23-152
1,13,EV,standard
1,14,Hawkins shallow,23-152
1,15,Moscow 8,23-152
1,16,Elks Golf,23-152
1,17,Moscow 2,23-152
1,18,Moscow 3,23-152
1,19,Moscow 9,23-152
1,20,UI Parker Farm,23-152
1,21,UI3,23-152
1,22,EV,standard
1,23,UI4,23-152
1,24,Moscow 6,23-152
1,25,GR9,23-152
1,26,CLBJ6-2030-1,23-084
1,27,CLBJ6-1020-2,23-084
1,28,CLBJ6-010-3,23-084
1,29,CLBJ6-3040-3,23-084
1,30,CLBJ6-deep-2,23-084
1,31,EV,standard
1,32,CLBJ6-E-5,23-084
1,33,CLBJ6-2030-2,23-084
1,34,EV,standard
