Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,WOOD1-deep-3,20-196
1,6,WOOD1-2030-2,20-196
1,7,SCBI1-C-3,20-196
1,8,UNDE1-3040-3,20-196
1,9,SCBI1-D-4,20-196
1,10,WOOD1-3040-3,20-196
1,11,UNDE1-deep-3,20-196
1,12,WOOD1-2030-3,20-196
1,13,EV,standard
1,14,WOOD1-deep-2,20-196
1,15,WOOD1-3040-2,20-196
1,16,SCBI1-D-5,20-196
1,17,WOOD1-010-2,20-196
1,18,WOOD1-5060-3,20-196
1,19,WOOD1-3040-1,20-196
1,20,SCBI1-C-2,20-196
1,21,WOOD1-1020-3,20-196
1,22,EV,standard
1,23,WOOD1-deep-1,20-196
1,24,WOOD1-010-1,20-196
1,25,WOOD1-010-3,20-196
1,26,WOOD1-6070-1,20-196
1,27,WOOD1-2030-1,20-196
1,28,WOOD1-6070-2,20-196
1,29,WOOD1-1020-2,20-196
1,30,WOOD1-1020-1,20-196
1,31,EV,standard
1,32,SCBI1-B-1,20-196
1,33,SCBI1-A-4,20-196
1,34,SCBI1-B-3,20-196
1,35,EV,standard
