Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,UNDE6-D-2,22-284
1,6,UNDE6-E-1,22-284
1,7,UNDE6-C-3,22-284
1,8,UNDE6-010-2,22-284
1,9,UNDE6-E-2,22-284
1,10,UNDE6-2030-3,22-284
1,11,UNDE6-E-3,22-284
1,12,UNDE6-2030-2,22-284
1,13,EV,standard
1,14,UNDE6-2030-1,22-284
1,15,UNDE6-C-1,22-284
1,16,UNDE6-D-3,22-284
1,17,UNDE6-D-5,22-284
1,18,UNDE6-B-2,22-284
1,19,UNDE6-C-2,22-284
1,20,UNDE6-A-1,22-284
1,21,UNDE6-B-4,22-284
1,22,EV,standard
1,23,UNDE6-A-5,22-284
1,24,UNDE6-D-4,22-284
1,25,UNDE6-C-4,22-284
1,26,UNDE6-3040-1,22-284
1,27,UNDE6-1020-1,22-284
1,28,UNDE6-B-3,22-284
1,29,UNDE6-3040-2,22-284
1,30,UNDE6-C-5,22-284
1,31,EV,standard
1,32,UNDE6-B-1,22-284
1,33,UNDE6-E-4,22-284
1,34,UNDE6-A-2,22-284
1,35,UNDE6-3040-3,22-284
1,36,UNDE6-B-5,22-284
1,37,UNDE6-A-4,22-284
1,38,UNDE6-D-1,22-284
1,39,UNDE6-E-5,22-284
1,40,EV,standard
1,41,UNDE6-1020-2,22-284
1,42,UNDE6-A-3,22-284
1,43,UNDE6-1020-3,22-284
1,44,UNDE6-010-1,22-284
1,45,UNDE6-010-3,22-284
1,46,UNDE6-deep-1,22-284
1,47,UNDE6-deep-2,22-284
1,48,UNDE6-deep-3,22-284
1,49,EV,standard
