Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,WOOD6-1020-1,23-082
1,6,WOOD6-2030-2,23-082
1,7,WOOD6-010-3,23-082
1,8,WOOD6-010-1,23-082
1,9,WOOD6-deep-2,23-082
1,10,WOOD6-2030-1,23-082
1,11,WOOD6-010-2,23-082
1,12,WOOD6-3040-2,23-082
1,13,EV,standard
1,14,WOOD6-1020-3,23-082
1,15,WOOD6-2030-3,23-082
1,16,WOOD6-3040-3,23-082
1,17,WOOD6-deep-3,23-082
1,18,WOOD6-B-2,23-082
1,19,WOOD6-B-5,23-082
1,20,WOOD6-D-3,23-082
1,21,WOOD6-D-4,23-082
1,22,EV,standard
1,23,WOOD6-D-2,23-082
1,24,WOOD6-A-4,23-082
1,25,WOOD6-B-4,23-082
1,26,WOOD6-D-1,23-082
1,27,WOOD6-B-1,23-082
1,28,WOOD6-D-5,23-082
1,29,WOOD6-A-1,23-082
1,30,WOOD6-1020-2,23-082
1,31,EV,standard
1,32,WOOD6-C-1,23-082
1,33,WOOD6-E-1,23-082
1,34,WOOD6-E-4,23-082
1,35,WOOD6-C-3,23-082
1,36,WOOD6-A-5,23-082
1,37,WOOD6-deep-1,23-082
1,38,WOOD6-E-3,23-082
1,39,WOOD6-A-2,23-082
1,40,EV,standard
1,41,WOOD6-C-4,23-082
1,42,WOOD6-E-5,23-082
1,43,WOOD6-A-3,23-082
1,44,WOOD6-C-2,23-082
1,45,WOOD6-B-3,23-082
1,46,WOOD6-C-5,23-082
1,47,WOOD6-3040-1,23-082
1,48,WOOD6-E-2,23-082
1,49,EV,standard
1,50,CLBJ6-3040-3,23-084
1,51,CLBJ6-E-5,23-084
1,52,CLBJ6-2030-2,23-084
1,53,EV,standard
