Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,NIWO1-E-2,20-196
1,6,WOOD1-B-1,20-196
1,7,SCBI1-D-1,20-196
1,8,NIWO1-C-2,20-196
1,9,WOOD1-D-5,20-196
1,10,SCBI1-B-4,20-196
1,11,NIWO1-C-4,20-196
1,12,WOOD1-D-3,20-196
1,13,EV,standard
1,14,WOOD1-D-2,20-196
1,15,WOOD1-B-4,20-196
1,16,WOOD1-B-2,20-196
1,17,WOOD1-D-4,20-196
1,18,NIWO1-C-3,20-196
1,19,NIWO1-E-4,20-196
1,20,NIWO1-C-5,20-196
1,21,UNDE1-C-1,20-196
1,22,EV,standard
1,23,UNDE1-E-2,20-196
1,24,CPER1-C-1,20-196
1,25,NIWO1-E-3,20-196
1,26,WOOD1-B-5,20-196
1,27,CPER1-C-4,20-196
1,28,UNDE1-C-2,20-196
1,29,CPER1-E-3,20-196
1,30,CPER1-A-3,20-196
1,31,EV,standard
1,32,WOOD1-A-3,20-196
1,33,WOOD1-E-1,20-196
1,34,NIWO1-E-1,20-196
1,35,NIWO1-B-3,20-196
1,36,CPER1-B-3,20-196
1,37,NIWO1-C-1,20-196
1,38,NIWO1-E-5,20-196
1,39,WOOD1-C-5,20-196
1,40,EV,standard
