Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,WOOD4-010-1,23-074
1,6,WOOD4-B-4,23-074
1,7,WOOD4-D-4,23-074
1,8,WOOD4-B-3,23-074
1,9,WOOD4-010-2,23-074
1,10,WOOD4-D-1,23-074
1,11,WOOD4-2030-2,23-074
1,12,WOOD4-deep-3,23-074
1,13,EV,standard
1,14,WOOD4-deep-1,23-074
1,15,WOOD4-3040-1,23-074
1,16,WOOD4-d-5,23-074
1,17,WOOD4-1020-1,23-074
1,18,WOOD4-2030-1,23-074
1,19,WOOD4-010-3,23-074
1,20,WOOD4-1020-3,23-074
1,21,WOOD4-3040-3,23-074
1,22,EV,standard
1,23,WOOD4-B-1,23-074
1,24,WOOD4-2030-3,23-074
1,25,WOOD4-1020-2,23-074
1,26,WOOD4-C-5,23-074
1,27,WOOD4-E-1,23-074
1,28,WOOD4-A-1,23-074
1,29,WOOD4-D-2,23-074
1,30,WOOD4-C-2,23-074
1,31,EV,standard
1,32,WOOD4-C-4,23-074
1,33,WOOD4-A-4,23-074
1,34,WOOD4-A-2,23-074
1,35,WOOD4-E-3,23-074
1,36,WOOD4-C-1,23-074
1,37,WOOD4-A-3,23-074
1,38,WOOD4-C-3,23-074
1,39,WOOD4-D-3,23-074
1,40,EV,standard
1,41,WOOD4-E-2,23-074
1,42,WOOD4-B-5,23-074
1,43,WOOD4-deep-2,23-074
1,44,WOOD4-B-2,23-074
1,45,WOOD4-3040-2,23-074
1,46,WOOD4-E-5,23-074
1,47,A00000277285,23-096
1,48,EV,standard
