Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,OSBS1-A-4,20-234
1,6,OSBS1-B-4,20-234
1,7,OSBS1-D-1,20-234
1,8,OSBS1-D-4,20-234
1,9,OSBS1-C-4,20-234
1,10,OSBS1-E-3,20-234
1,11,OSBS1-D-3,20-234
1,12,OSBS1-C-3,20-234
1,13,EV,standard
1,14,OSBS1-E-4,20-234
1,15,OSBS1-E-5,20-234
1,16,OSBS1-C-1,20-234
1,17,OSBS1-B-1,20-234
1,18,OSBS1-A-1,20-234
1,19,OSBS1-B-3,20-234
1,20,OSBS1-B-5,20-234
1,21,OSBS1-A-2,20-234
1,22,EV,standard
1,23,OSBS1-C-5,20-234
1,24,OSBS1-010-2,20-234
1,25,OSBS1-deep-1,20-234
1,26,OSBS1-010-1,20-234
1,27,OSBS1-A-3,20-234
1,28,OSBS1-3040-1,20-234
1,29,OSBS1-C-2,20-234
1,30,OSBS1-3040-2,20-234
1,31,EV,standard
1,32,OSBS1-D-5,20-234
1,33,OSBS1-1020-3,20-234
1,34,OSBS1-B-2,20-234
1,35,OSBS1-1020-2,20-234
1,36,OSBS1-E-1,20-234
1,37,OSBS1-deep-3,20-234
1,38,OSBS1-1020-1,20-234
1,39,OSBS1-3040-3,20-234
1,40,EV,standard
1,41,OSBS1-D-2,20-234
1,42,OSBS1-010-3,20-234
1,43,OSBS1-deep-2,20-234
1,44,OSBS1-2030-1,20-234
1,45,OSBS1-2030-3,20-234
1,46,OSBS1-2030-2,20-234
1,47,OSBS1-E-2,20-234
1,48,OSBS1-A-5,20-234
1,49,EV,standard
