Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,HARV3-2030-2,22-035
1,6,HARV3-deep-3,22-035
1,7,HARV3-1020-3,22-035
1,8,HARV3-010-3,22-035
1,9,HARV3-3040-2,22-035
1,10,HARV3-1020-1,22-035
1,11,HARV3-deep-2,22-035
1,12,HARV3-deep-1,22-035
1,13,EV,standard
1,14,HARV3-D-5,22-035
1,15,HARV3-010-1,22-035
1,16,HARV3-3040-3,22-035
1,17,HARV3-E-5,22-035
1,18,HARV3-010-2,22-035
1,19,HARV3-E-4,22-035
1,20,HARV3-B-5,22-035
1,21,HARV3-A-3,22-035
1,22,EV,standard
1,23,HARV3-C-5,22-035
1,24,HARV3-D-3,22-035
1,25,HARV3-C-3,22-035
1,26,HARV3-B-4,22-035
1,27,HARV3-A-2,22-035
1,28,HARV3-B-2,22-035
1,29,HARV3-A-1,22-035
1,30,HARV3-A-4,22-035
1,31,EV,standard
1,32,HARV3-C-4,22-035
1,33,HARV3-D-2,22-035
1,34,HARV3-C-2,22-035
1,35,HARV3-C-1,22-035
1,36,HARV3-E-2,22-035
1,37,HARV3-B-3,22-035
1,38,HARV3-D-4,22-035
1,39,HARV3-A-5,22-035
1,40,EV,standard
1,41,HARV3-E-3,22-035
1,42,HARV3-B-1,22-035
1,43,HARV3-2030-1,22-035
1,44,HARV3-D-1,22-035
1,45,HARV3-2030-3,22-035
1,46,HARV3-3040-1,22-035
1,47,HARV3-E-1,22-035
1,48,HARV3-1020-2,22-035
1,49,EV,standard
1,50,120,22-216
1,51,121,22-216
1,52,122,22-216
1,53,123,22-216
1,54,124,22-216
1,55,125,22-216
1,56,126,22-216
1,57,127,22-216
1,58,EV,standard
1,59,128,22-216
1,60,129,22-216
1,61,130,22-216
1,62,131,22-216
1,63,132,22-216
1,64,133,22-216
1,65,134,22-216
1,66,135,22-216
1,67,EV,standard
