Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,SCBI4-3040-1,22-283
1,6,SCBI4-010-2,22-283
1,7,SCBI4-2030-2,22-283
1,8,SCBI4-1020-2,22-283
1,9,SCBI4-1020-3,22-283
1,10,SCBI4-1020-1,22-283
1,11,SCBI4-3040-2,22-283
1,12,SCBI4-deep-1,22-283
1,13,EV,standard
1,14,SCBI4-deep-2,22-283
1,15,SCBI4-010-1,22-283
1,16,SCBI4-C-1,22-283
1,17,SCBI4-D-1,22-283
1,18,SCBI4-A-1,22-283
1,19,SCBI4-A-5,22-283
1,20,SCBI4-3040-3,22-283
1,21,SCBI4-A-4,22-283
1,22,EV,standard
1,23,SCBI4-A-2,22-283
1,24,SCBI4-D-5,22-283
1,25,SCBI4-C-3,22-283
1,26,SCBI4-B-3,22-283
1,27,SCBI4-B-5,22-283
1,28,SCBI4-010-3,22-283
1,29,SCBI4-A-3,22-283
1,30,SCBI4-B-4,22-283
1,31,EV,standard
1,32,SCBI4-D-4,22-283
1,33,SCBI4-D-2,22-283
1,34,SCBI4-C-4,22-283
1,35,SCBI4-D-3,22-283
1,36,SCBI4-C-2,22-283
1,37,SCBI4-2030-1,22-283
1,38,SCBI4-B-1,22-283
1,39,SCBI4-C-5,22-283
1,40,EV,standard
1,41,SCBI4-2030-3,22-283
1,42,SCBI4-B-2,22-283
1,43,EV,standard
