Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,CPER1-E-4,20-196
1,6,CPER1-A-1,20-196
1,7,WOOD1-D-1,20-196
1,8,NIWO1-B-4,20-196
1,9,CPER1-D-2,20-196
1,10,UNDE1-A-4,20-196
1,11,CPER1-B-1,20-196
1,12,CPER1-E-2,20-196
1,13,EV,standard
1,14,WOOD1-A-2,20-196
1,15,WOOD1-E-4,20-196
1,16,WOOD1-A-1,20-196
1,17,NIWO1-2030-2,20-196
1,18,NIWO1-010-1,20-196
1,19,CPER1-3040-3,20-196
1,20,NIWO1-010-3,20-196
1,21,CPER1-3040-2,20-196
1,22,EV,standard
1,23,NIWO1-010-2,20-196
1,24,CPER1-deep-2,20-196
1,25,CPER1-1020-1,20-196
1,26,CPER1-1020-2,20-196
1,27,CPER-010-1,20-196
1,28,WOOD1-E-3,20-196
1,29,EV,standard
