Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,WREF1-2030-1,21-070
1,6,WREF1-010-2,21-070
1,7,WREF1-3040-2,21-070
1,8,WREF1-deep-2,21-070
1,9,WREF1-deep-1,21-070
1,10,WREF1-2030-2,21-070
1,11,WREF1-3040-1,21-070
1,12,WREF1-A-4,21-070
1,13,EV,standard
1,14,WREF1-A-3,21-070
1,15,WREF1-A-1,21-070
1,16,WREF1-A-5,21-070
1,17,WREF1-B-3,21-070
1,18,WREF1-B-1,21-070
1,19,WREF1-D-1,21-070
1,20,WREF1-E-5,21-070
1,21,WREF1-E-2,21-070
1,22,EV,standard
1,23,WREF1-B-2,21-070
1,24,WREF1-E-4,21-070
1,25,WREF1-E-3,21-070
1,26,WREF1-E-1,21-070
1,27,WREF1-010-1,21-070
1,28,WREF1-1020-1,21-070
1,29,WREF1-A-2,21-070
1,30,WREF1-deep-3,21-070
1,31,EV,standard
1,32,WREF1-2030-3,21-070
1,33,WREF1-1020-3,21-070
1,34,WREF1-3040-3,21-070
1,35,WREF1-D-5,21-070
1,36,WREF1-D-3,21-070
1,37,WREF1-D-2,21-070
1,38,WREF1-C-5,21-070
1,39,WREF1-B-5,21-070
1,40,EV,standard
1,41,WREF1-C-3,21-070
1,42,WREF1-C-1,21-070
1,43,WREF1-1020-2,21-070
1,44,WREF1-010-3,21-070
1,45,WREF1-B-4,21-070
1,46,WREF1-D-4,21-070
1,47,WREF1-C-2,21-070
1,48,WREF1-C-4,21-070
1,49,EV,standard
1,50,CO98 TQ 9277,22-074
1,51,CO98 TP 4133,22-074
1,52,CO98 TR 2418,22-074
1,53,CO98 TQ 8468,22-074
1,54,EV,standard
