Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,BIFI-047,23-155
1,6,BIFI-094,23-155
1,7,BIFI-079,23-155
1,8,BIFI-054,23-155
1,9,BIFI-069,23-155
1,10,BIFI-075,23-155
1,11,BIFI-060,23-155
1,12,BIFI-059,23-155
1,13,EV,standard
1,14,BIFI-088,23-155
1,15,BIFI-018,23-155
1,16,BIFI-087,23-155
1,17,BIFI-093,23-155
1,18,BIFI-004,23-155
1,19,BIFI-056,23-155
1,20,BIFI-074,23-155
1,21,CLBJ5-C-1,23-079
1,22,EV,standard
1,23,CLBJ5-A-4,23-079
1,24,CLBJ5-A-2,23-079
1,25,CLBJ5-B-3,23-079
1,26,CLBJ4-C-5,23-079
1,27,CLBJ5-D-5,23-079
1,28,CLBJ5-D-4,23-079
1,29,CLBJ4-E-4,23-079
1,30,CLBJ5-E-2,23-079
1,31,EV,standard
1,32,CLBJ4-B-5,23-079
1,33,CLBJ4-B-3,23-079
1,34,CLBJ4-A-1,23-079
1,35,CLBJ4-A-4,23-079
1,36,CLBJ5-010-1,23-079
1,37,CLBJ4-D-4,23-079
1,38,CLBJ5-B-4,23-079
1,39,CLBJ5-A-5,23-079
1,40,EV,standard
1,41,CLBJ5-2030-1,23-079
1,42,CLBJ4-A-5,23-079
1,43,CLBJ5-010-3,23-079
1,44,CLBJ4-A-3,23-079
1,45,CLBJ5-1020-1,23-079
1,46,CLBJ5-D-1,23-079
1,47,CLBJ4-D-2,23-079
1,48,CLBJ4-010-1,23-079
1,49,EV,standard
1,50,CLBJ4-3040-2,23-079
1,51,CLBJ5-D-2,23-079
1,52,CLBJ4-D-3,23-079
1,53,CLBJ5-B-5,23-079
1,54,CLBJ5-1020-3,23-079
1,55,CLBJ5-B-2,23-079
1,56,CLBJ4-A-2,23-079
1,57,EV,standard
