Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,TALL1-deep-2,23-029
1,6,TALL1-1020-3,23-029
1,7,TALL1-D-5,23-029
1,8,TALL1-A-4,23-029
1,9,TALL1-C-4,23-029
1,10,TALL1-1020-1,23-029
1,11,TALL1-C-2,23-029
1,12,TALL1-D-1,23-029
1,13,EV,standard
1,14,TALL1-1020-2,23-029
1,15,TALL1-C-5,23-029
1,16,TALL1-D-4,23-029
1,17,TALL1-C-3,23-029
1,18,TALL1-2030-2,23-029
1,19,TALL1-3040-2,23-029
1,20,TALL1-2030-3,23-029
1,21,TALL1-3040-3,23-029
1,22,EV,standard
1,23,TALL1-010-2,23-029
1,24,TALL1-D-2,23-029
1,25,TALL1-B-1,23-029
1,26,TALL1-B-3,23-029
1,27,TALL1-C-1,23-029
1,28,TALL1-A-5,23-029
1,29,TALL1-B-5,23-029
1,30,TALL1-B-4,23-029
1,31,EV,standard
1,32,TALL1-010-3,23-029
1,33,TALL1-D-3,23-029
1,34,TALL1-B-2,23-029
1,35,TALL1-A-3,23-029
1,36,TALL1-A-2,23-029
1,37,TALL1-A-1,23-029
1,38,TALL1-010-1,23-029
1,39,SLCP-23-011,Precipitation
1,40,EV,standard
