Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,NIWO2-C-2,20-213
1,6,NIWO2-E-3,20-213
1,7,NIWO2-A-2,20-213
1,8,NIWO2-A-5,20-213
1,9,NIWO2-E-1,20-213
1,10,NIWO2-A-1,20-213
1,11,NIWO2-A-3,20-213
1,12,NIWO2-C-4,20-213
1,13,EV,standard
1,14,NIWO2-C-1,20-213
1,15,NIWO2-A-4,20-213
1,16,NIWO2-2030-1,20-213
1,17,NIWO2-B-2,20-213
1,18,NIWO2-C-5,20-213
1,19,NIWO2-D-4,20-213
1,20,NIWO2-DCEL-2,20-213
1,21,NIWO2-D-2,20-213
1,22,EV,standard
1,23,NIWO2-E-4,20-213
1,24,NIWO2-1020-1,20-213
1,25,NIWO2-B-3,20-213
1,26,NIWO2-E-2,20-213
1,27,NIWO2-C-3,20-213
1,28,NIWO2-010-3,20-213
1,29,NIWO2-010-1,20-213
1,30,NIWO2-2030-2,20-213
1,31,EV,standard
1,32,NIWO2-B-1,20-213
1,33,NIWO2-1020-3,20-213
1,34,NIWO2-D-1,20-213
1,35,NIWO2-3040-2,20-213
1,36,EV,standard
