Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,CPER4-3040-2,23-083
1,6,CPER4-2030-4,23-083
1,7,CPER4-E-3,23-083
1,8,CPER4-E-5,23-083
1,9,CPER4-B-1,23-083
1,10,CPER4-2030-3,23-083
1,11,CPER4-deep-1,23-083
1,12,CPER4-3040-3,23-083
1,13,EV,standard
1,14,CPER4-1020-1,23-083
1,15,CPER4-3040-1,23-083
1,16,CPER4-deep-3,23-083
1,17,CPER4-010-2,23-083
1,18,CPER4-010-3,23-083
1,19,CPER4-B-3,23-083
1,20,CPER4-1020-3,23-083
1,21,CPER4-deep-2,23-083
1,22,EV,standard
1,23,CPER4-1020-2,23-083
1,24,CPER4-B-5,23-083
1,25,CPER4-C-5,23-083
1,26,CPER4-D-2,23-083
1,27,CPER4-C-2,23-083
1,28,CPER4-C-4,23-083
1,29,CPER4-D-1,23-083
1,30,CPER4-A-2,23-083
1,31,EV,standard
1,32,CPER4-010-1,23-083
1,33,CPER4-D-4,23-083
1,34,CPER4-2030-1,23-083
1,35,CPER4-E-2,23-083
1,36,CPER4-A-1,23-083
1,37,CLBJ6-1020-2,23-084
1,38,CLBJ6-010-3,23-084
1,39,EV,standard
