Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,SJER4-2030-1,22-262
1,6,SJER4-010-1,22-262
1,7,SJER4-1020-3,22-262
1,8,SJER4-deep-1,22-262
1,9,SJER4-1020-1,22-262
1,10,SJER4-010-2,22-262
1,11,SJER4-A-2,22-262
1,12,SJER4-B-3,22-262
1,13,EV,standard
1,14,SJER4-010-3,22-262
1,15,SJER4-B-5,22-262
1,16,SJER4-D-4,22-262
1,17,SJER4-2030-3,22-262
1,18,SJER4-D-2,22-262
1,19,SJER4-C-1,22-262
1,20,SJER4-C-3,22-262
1,21,SJER4-3040-1,22-262
1,22,EV,standard
1,23,SJER4-C-5,22-262
1,24,SJER4-B-2,22-262
1,25,SJER4-D-3,22-262
1,26,SJER4-C-2,22-262
1,27,SJER4-D-1,22-262
1,28,SJER4-D-5,22-262
1,29,SJER4-A-1,22-262
1,30,SJER4-B-4,22-262
1,31,EV,standard
1,32,SJER4-A-3,22-262
1,33,SJER4-C-4,22-262
1,34,SJER4-B-1,22-262
1,35,EV,standard
