Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,A00000209752,22-084
1,6,A00000209761,22-084
1,7,A00000209762,22-084
1,8,A00000319094,22-084
1,9,A00000319080,22-084
1,10,A00000319071,22-084
1,11,A00000307888,22-084
1,12,A00000307886,22-084
1,13,EV,standard
1,14,A00000307890,22-084
1,15,A00000307918,22-084
1,16,A00000278712,22-084
1,17,A00000278697,22-084
1,18,A00000278679,22-084
1,19,A00000278680,22-084
1,20,A00000280479,22-084
1,21,A00000280480,22-084
1,22,EV,standard
1,23,A00000280481,22-084
1,24,A00000280478,22-084
1,25,A00000280477,22-084
1,26,A00000280492,22-084
1,27,A00000279569,22-084
1,28,EVIAN 1-2 - 3-31-22,22-095
1,29,FLUKE D-G 1491,22-095
1,30,Beta2 -3-16-22,22-095
1,31,EV,standard
1,32,FLUKE D-G 1490,22-095
1,33,Beta1 -3-16-22,22-095
1,34,EVIAN 1-1 3-31-22,22-095
1,35,HARV2-C-4,21-069
1,36,EV,standard
