Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,1,23-045
1,6,2,23-045
1,7,3,23-045
1,8,4,23-045
1,9,5,23-045
1,10,6,23-045
1,11,7,23-045
1,12,8,23-045
1,13,EV,standard
1,14,9,23-045
1,15,10,23-045
1,16,11,23-045
1,17,12,23-045
1,18,13,23-045
1,19,14,23-045
1,20,15,23-045
1,21,16,23-045
1,22,EV,standard
1,23,17,23-045
1,24,18,23-045
1,25,19,23-045
1,26,20,23-045
1,27,21,23-045
1,28,22,23-045
1,29,23,23-045
1,30,24,23-045
1,31,EV,standard
1,32,25,23-045
1,33,26,23-045
1,34,27,23-045
1,35,28,23-045
1,36,29,23-045
1,37,30,23-045
1,38,31,23-045
1,39,32,23-045
1,40,EV,standard
1,41,33,23-045
1,42,34,23-045
1,43,SCBI6-A-4,22-303
1,44,EV,standard
