Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,NIWO1-C-2,20-196
1,6,SCBI1-D-1,20-196
1,7,SCBI1-1020-2,20-196
1,8,CPER1-D-1,20-196
1,9,CPER1-2030-2,20-196
1,10,UNDE1-deep-2,20-196
1,11,UNDE1-3040-2,20-196
1,12,NIWO1-1020-2,20-196
1,13,EV,standard
1,14,NIWO1-3040-3,20-196
1,15,CPER1-010-3,20-196
1,16,CPER1-010-2,20-196
1,17,CPER1-3040-1,20-196
1,18,CPER1-deep-3,20-196
1,19,NIWO1-2030-1,20-196
1,20,NIWO1-1020-1,20-196
1,21,UNDE1-2030-1,20-196
1,22,EV,standard
1,23,CPER1-1020-3,20-196
1,24,SCBI1-2030-3,20-196
1,25,CPER1-2030-3,20-196
1,26,NIWO1-3040-1,20-196
1,27,CPER1-2030-1,20-196
1,28,NIWO1-2030-3,20-196
1,29,UNDE1-1020-3,20-196
1,30,UNDE1-2030-3,20-196
1,31,EV,standard
1,32,NIWO1-1020-3,20-196
1,33,NIWO1-deep-3,20-196
1,34,EV,standard
