Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,YELL1-A-1,20-204
1,6,YELL1-C-4,20-204
1,7,YELL1-B-5,20-204
1,8,YELL1-C-3,20-204
1,9,YELL1-A-2,20-204
1,10,YELL1-B-1,20-204
1,11,YELL1-A-4,20-204
1,12,YELL1-A-5,20-204
1,13,EV,standard
1,14,YELL1-B-4,20-204
1,15,YELL1-B-3,20-204
1,16,YELL1-A-3,20-204
1,17,YELL1-B-2,20-204
1,18,YELL1-deep-3,20-204
1,19,YELL1-E-4,20-204
1,20,YELL1-010-1,20-204
1,21,YELL1-C-5,20-204
1,22,EV,standard
1,23,YELL1-010-3,20-204
1,24,YELL1-D-4,20-204
1,25,YELL1-E-2,20-204
1,26,YELL1-D-2,20-204
1,27,YELL1-010-2,20-204
1,28,YELL1-E-3,20-204
1,29,YELL1-C-2,20-204
1,30,YELL1-3040-3,20-204
1,31,EV,standard
1,32,YELL1-D-3,20-204
1,33,YELL1-1020-2,20-204
1,34,YELL1-2030-1,20-204
1,35,YELL1-1020-1,20-204
1,36,YELL1-D-5,20-204
1,37,YELL1-D-1,20-204
1,38,YELL1-010-1,20-204
1,39,YELL1-E-1,20-204
1,40,EV,standard
1,41,YELL1-2030-3,20-204
1,42,YELL1-1020-3,20-204
1,43,YELL1-E-5,20-204
1,44,EV,standard
