Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,SCBI5-B-1,22-157
1,6,SCBI5-B-4,22-157
1,7,SCBI5-A-5,22-157
1,8,SCBI5-B-2,22-157
1,9,SCBI5-C-2,22-157
1,10,SCBI5-A-3,22-157
1,11,SCBI5-D-1,22-157
1,12,SCBI5-C-1,22-157
1,13,EV,standard
1,14,SCBI5-B-5,22-157
1,15,SCBI5-A-2,22-157
1,16,SCBI5-B-3,22-157
1,17,SCBI5-D-2,22-157
1,18,SCBI5-D-5,22-157
1,19,SCBI5-C-4,22-157
1,20,SCBI5-D-3,22-157
1,21,SCBI5-D-4,22-157
1,22,EV,standard
1,23,SCBI5-1020-2,22-157
1,24,SCBI5-A-1,22-157
1,25,SCBI5-deep-2,22-157
1,26,SCBI5-3040-2,22-157
1,27,SCBI5-A-4,22-157
1,28,SCBI5-010-2,22-157
1,29,SCBI5-1020-3,22-157
1,30,SCBI5-2030-2,22-157
1,31,EV,standard
1,32,SCBI5-2030-3,22-157
1,33,SCBI5-3040-3,22-157
1,34,UNDE6-C-3,22-284
1,35,SLCP-22-019,Precipitation
1,36,EV,standard
