Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,CPER2-2030-3,20-202
1,6,CPER2-010-2,20-202
1,7,CPER2-A-5,20-202
1,8,CPER2-E-5,20-202
1,9,CPER2-D-1,20-202
1,10,CPER2-E-2,20-202
1,11,CPER2-D-3,20-202
1,12,CPER2-C-4,20-202
1,13,EV,standard
1,14,CPER2-C-1,20-202
1,15,CPER2-010-3,20-202
1,16,CPER2-D-2,20-202
1,17,CPER2-C-3,20-202
1,18,CPER2-2030-1,20-202
1,19,CPER2-E-4,20-202
1,20,CPER2-A-1,20-202
1,21,CPER2-B-3,20-202
1,22,EV,standard
1,23,CPER2-B-1,20-202
1,24,CPER2-B-4,20-202
1,25,CPER2-A-4,20-202
1,26,CPER2-E-1,20-202
1,27,CPER2-D-5,20-202
1,28,CPER2-1020-3,20-202
1,29,CPER2-A-3,20-202
1,30,CPER2-B-5,20-202
1,31,EV,standard
1,32,CPER2-3040-2,20-202
1,33,CPER2-C-5,20-202
1,34,CPER2-1020-1,20-202
1,35,CPER2-3040-1,20-202
1,36,CPER2-deep-2,20-202
1,37,CPER2-B-2,20-202
1,38,CPER2-1020-2,20-202
1,39,CPER2-010-1,20-202
1,40,EV,standard
1,41,CPER2-2030-2,20-202
1,42,CPER2-A-2,20-202
1,43,CPER2-C-2,20-202
1,44,CPER2-D-4,20-202
1,45,CPER2-E-3,20-202
1,46,EV,standard
