Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,SRER4-2030-1,23-047
1,6,SRER4-2030-3,23-047
1,7,SRER4-1020-3,23-047
1,8,SRER4-deep-1,23-047
1,9,SRER4-D-5,23-047
1,10,SRER4-A-5,23-047
1,11,SRER4-B-1,23-047
1,12,SRER4-A-1,23-047
1,13,EV,standard
1,14,SRER4-A-3,23-047
1,15,SRER4-D-1,23-047
1,16,SRER4-B-3,23-047
1,17,SRER4-3040-3,23-047
1,18,SRER4-D-2,23-047
1,19,SRER4-A-2,23-047
1,20,SRER4-3040-1,23-047
1,21,SRER4-B-2,23-047
1,22,EV,standard
1,23,SRER4-1020-1,23-047
1,24,SRER4-A-4,23-047
1,25,SRER4-C-2,23-047
1,26,SRER4-C-3,23-047
1,27,SRER4-C-4,23-047
1,28,SRER4-C-5,23-047
1,29,SRER4-D-4,23-047
1,30,SRER4-B-4,23-047
1,31,EV,standard
1,32,SRER4-D-3,23-047
1,33,SRER4-1020-2,23-047
1,34,SRER4-B-5,23-047
1,35,SRER4-deep-3,23-047
1,36,SRER4-010-3,23-047
1,37,SRER4-010-1,23-047
1,38,SRER4-010-2,23-047
1,39,CPER7-C-4,23-046
1,40,EV,standard
1,41,CPER7-D-1,23-046
1,42,CPER7-1020-1,23-046
1,43,CPER7-010-3,23-046
1,44,CPER7-C-1,23-046
1,45,CPER7-C-2,23-046
1,46,CPER7-D-3,23-046
1,47,CPER7-D-2,23-046
1,48,CPER7-D-5,23-046
1,49,EV,standard
1,50,CPER7-3040-1,23-046
1,51,CPER7-2030-1,23-046
1,52,CPER7-1020-2,23-046
1,53,CPER7-010-2,23-046
1,54,CPER7-2030-2,23-046
1,55,CPER7-1020-3,23-046
1,56,CPER7-010-1,23-046
1,57,CPER7-D-4,23-046
1,58,EV,standard
1,59,CPER7-2030-3,23-046
1,60,CPER7-3040-3,23-046
1,61,CPER7-3040-2,23-046
1,62,CPER7-C-5,23-046
1,63,CPER7-C-3,23-046
1,64,CPER7-deep-1,23-046
1,65,CPER7-deep-2,23-046
1,66,CPER7-deep-3,23-046
1,67,EV,standard
